LGA_NAME_2021,TOTAL_AREA_SIZE,SERVED_AREA,UNDERSERVED_AREA,SERVED_AREA_PCT,NUM_BLOCKS,SERVED_BLOCKS,UNDERSERVED_BLOCKS,SERVED_BLOCKS_PCT
Nillumbik,107.8147,14.6229,93.1918,13.562992802,23,8,15,34.782600
Macedon Ranges,665.0704,104.1504,560.92,15.660056439,40,8,32,20.000000
Melton,342.5794,61.7383,280.8411,18.021603167,57,26,31,45.614000
Cardinia,831.3398,156.0712,675.2686,18.773454609,128,35,93,27.343800
Mitchell,268.4085,69.6246,198.7839,25.939789537,24,5,19,20.833300
Mornington Peninsula,351.8869,93.9432,257.9437,26.696987015,145,65,80,44.827600
Wyndham,250.3353,83.1912,167.1441,33.231909363,88,77,11,87.500000
Moorabool,107.2271,36.1299,71.0972,33.694746944,22,11,11,50.000000
Murrindindi,94.5199,32.8522,61.6677,34.756913623,13,5,8,38.461500
Hume,254.9811,96.2405,158.7406,37.744170058,142,103,39,72.535200
Yarra Ranges,766.6297,304.837,461.7927,39.763265107,230,115,115,50.000000
Whittlesea,188.8326,94.1723,94.6603,49.870785023,95,80,15,84.210500
Yarra,0.9472,0.5934,0.3538,62.647804054,42,24,18,57.142900
Casey,119.7487,75.1246,44.6241,62.735211322,69,55,14,79.710100
Bayside (Vic.),0.8243,0.5842,0.2401,70.872255247,15,14,1,93.333300
Frankston,25.9543,21.8507,4.1036,84.189132437,72,67,5,93.055600
Maroondah,5.0623,4.687,0.3753,92.586373783,46,43,3,93.478300
Brimbank,26.9778,25.0395,1.9383,92.815203612,148,118,30,79.729700
Hobsons Bay,18.7699,17.8471,0.9228,95.08361792,52,48,4,92.307700
Maribyrnong,5.4111,5.1658,0.2453,95.466725804,40,37,3,92.500000
Port Phillip,2.1665,2.072,0.0945,95.63812601,62,50,12,80.645200
Greater Dandenong,49.9827,48.3533,1.6294,96.740072065,135,128,7,94.814800
Kingston (Vic.),13.2888,12.9048,0.384,97.110348564,139,131,8,94.244600
Melbourne,5.3838,5.3033,0.0805,98.50477358,43,37,6,86.046500
Knox,13.6532,13.5422,0.111,99.187003779,68,66,2,97.058800
Manningham,0.7453,0.7453,0,100,10,10,0,100.000000
Whitehorse,2.5359,2.5359,0,100,42,42,0,100.000000
Moreland,2.6689,2.6689,0,100,90,90,0,100.000000
Boroondara,0.0581,0.0581,0,100,1,1,0,100.000000
Banyule,1.3638,1.3638,0,100,18,18,0,100.000000
Glen Eira,0.2914,0.2914,0,100,5,5,0,100.000000
Monash,3.4725,3.4725,0,100,56,56,0,100.000000
Stonnington,0.036,0.036,0,100,1,1,0,100.000000
Darebin,3.672,3.672,0,100,58,58,0,100.000000
Moonee Valley,0.5829,0.5829,0,100,23,23,0,100.000000
